Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
3986	ENSMUSG00000074782	2.4383009694642	-0.897902032452735	3.95676127828989	0.000563012073443239	0.00216701736848123	-0.491736094608707	4833422C13Rik	65
4459	ENSMUSG00000026885	2.41734426553902	-1.28126284235132	3.68189165658408	0.00113156059986533	0.00389333992445256	-0.901701310119364	Ttll11	66
4913	ENSMUSG00000081408	2.41452241094142	-1.61232823234414	3.43504754314861	0.00210090559772292	0.00656057270105129	-1.52174215538718	Gm15047	67
2102	ENSMUSG00000063886	2.40375902981897	0.130465178871343	5.3700254175347	1.48864559009551e-05	0.000108652714763298	2.91456919780035	NA	68
936	ENSMUSG00000014932	2.39605115449474	3.04227490459669	6.90899252451906	3.25143148382532e-07	5.32942968214188e-06	6.78412070623597	Yes1	69
1053	ENSMUSG00000045064	2.38545535900201	-0.438823239780059	6.67711622564402	5.69203981607594e-07	8.29318849555907e-06	5.47826244169012	Zc2hc1c	70
472	ENSMUSG00000035067	2.38067446414263	1.26442146408685	8.11143390870278	1.98817836167299e-08	6.46242212389554e-07	9.23372093296331	Xkr6	71
340	ENSMUSG00000026358	2.36840763364155	4.36443236101622	8.80266298439904	4.347793272071e-09	1.95723294723734e-07	10.9230081199564	Rgs1	72
645	ENSMUSG00000072612	2.36261164464014	0.603714810538686	7.54491614226194	7.2454341675745e-08	1.72340234106865e-06	7.83348474244705	Gm10382	73
1424	ENSMUSG00000029120	2.35034802479367	1.46341968277451	6.13321280199977	2.16912276175697e-06	2.33620074628887e-05	4.88573292729115	Ppp2r2c	74
2153	ENSMUSG00000004988	2.34435648488931	-1.40211586597209	5.30900086941903	1.73987778484205e-05	0.00012395571031346	2.39807540681609	Fxyd4	75
242	ENSMUSG00000052928	2.3274693761973	2.07868173209465	9.52739423903634	9.44949592136847e-10	5.97941598579672e-08	12.0272142727895	Ctif	76
499	ENSMUSG00000052364	2.32710347751112	0.924149226655391	8.03780772636376	2.3463894021876e-08	7.19341699753391e-07	8.69597632601769	B630019K06Rik	77
1498	ENSMUSG00000044471	2.31390786483922	0.487721001338429	6.03958788976002	2.73958244760687e-06	2.80431385188351e-05	4.56983069872513	Lncpint	78
235	ENSMUSG00000035983	2.29158479486779	1.31127087486868	9.60564899478282	8.04632381845324e-10	5.2364458261566e-08	11.9521477633174	Gm7008	79
2499	ENSMUSG00000045377	2.28900673077466	-2.08076049531036	4.98801730196336	3.9643331345601e-05	0.000243380548020893	1.43835169829848	Tmem88	80
388	ENSMUSG00000030247	2.28377726786469	3.89523975683585	8.53310357058305	7.80632345042128e-09	3.08671686537019e-07	10.3944749995502	Kcnj8	81
191	ENSMUSG00000090023	2.27045580415858	1.13403354536434	9.99316335281151	3.6715927226444e-10	2.94919243721521e-08	12.273045595065	Gm16302	82
4729	ENSMUSG00000053046	2.25964152248751	-2.32328782490505	3.52719824514782	0.00166936312437627	0.00541581075368593	-1.30722050064831	Brsk2	83
1496	ENSMUSG00000021782	2.25352603783168	5.14674535658289	6.0451381292266	2.7018585957501e-06	2.7708499048127e-05	4.26339937872603	Dlg5	84
804	ENSMUSG00000091462	2.25196486249008	0.157603528120615	7.15107307381482	1.82489796594187e-07	3.47575888727524e-06	6.73114188319188	Gm17084	85
446	ENSMUSG00000097810	2.24220574084742	0.467326666140229	8.27705632907331	1.37328144766807e-08	4.72396501572277e-07	8.93495691928868	NA	86
103	ENSMUSG00000046447	2.23513432444046	3.72765522261785	11.3211811895488	2.86602019274019e-11	4.26897881524466e-09	15.8964011464266	Camk2n1	87
2227	ENSMUSG00000005045	2.23081204389391	-0.662524062624612	5.23807345176594	2.08620398813241e-05	0.000143720438194555	2.53716172252714	Chd5	88
987	ENSMUSG00000033967	2.20953135691589	-0.431626395743343	6.81907493237256	4.03688115047812e-07	6.27495750867632e-06	5.79434147841798	Rnf225	89
255	ENSMUSG00000051537	2.20400337081978	2.37382292169333	9.36827486737298	1.31343690821894e-09	7.90225452780196e-08	11.9443769491803	Gm5124	90
5516	ENSMUSG00000090996	2.20082563327684	1.66819113225427	3.14757242687506	0.00426174565120125	0.011853462976927	-2.0432679150147	Gm20458	91
3394	ENSMUSG00000054966	2.1968126648576	-0.936142323505217	4.31807260074213	0.00022285474647884	0.00100737699483747	0.48174101121326	Lmntd1	92
3467	ENSMUSG00000097956	2.19558041035429	-0.261169391702552	4.26716323355414	0.000254047122334526	0.00112419698611373	0.430086463380086	NA	93
2	ENSMUSG00000027368	2.18872416957709	6.81583321503215	29.6128643026102	8.04135262994037e-21	4.19440648778269e-17	37.5653072831492	Dusp2	94
3335	ENSMUSG00000085636	2.18864714420022	-0.57077168274422	4.36114460444107	0.000199460646473428	0.000917304379369417	0.675764910952611	Gm11769	95
5152	ENSMUSG00000086228	2.17794793257038	-2.97472766676032	3.31807161278596	0.00280704550430694	0.00835902409298857	-1.76167854782138	Ubap1l	96
674	ENSMUSG00000016758	2.17119998952901	0.227391644439876	7.47664020306093	8.49155449212454e-08	1.9311432573117e-06	7.55372419360737	Bik	97
610	ENSMUSG00000066235	2.17025701160377	1.37991372439492	7.64800918398099	5.70816065950556e-08	1.43564919406778e-06	8.40930021753347	Pomgnt2	98
4581	ENSMUSG00000084843	2.17019488587405	-2.288231988984	3.60981209239627	0.00135689221649159	0.00454430045523117	-1.14161074960241	B230312C02Rik	99
331	ENSMUSG00000037032	2.15764315915401	1.80087388356938	8.85142117790574	3.91505850506335e-09	1.81464735905383e-07	10.861088622125	Apbb1	100
2729	ENSMUSG00000032192	2.15475238651328	-0.494006541260973	4.80635753669287	6.32911132780125e-05	0.00035581248072967	1.49697588812988	Gnb5	101
3860	ENSMUSG00000020793	2.15218287954686	-1.23458773721238	4.02973509253962	0.000467212743676758	0.00185698909675876	-0.24642006653095	Galr2	102
344	ENSMUSG00000027364	2.1466392917128	1.38359263129862	8.77722518824924	4.59279279305137e-09	2.04833218113355e-07	10.4324692905839	Usp50	103
3757	ENSMUSG00000081805	2.14488575289106	-1.68206723172164	4.08496743595683	0.000405593919378924	0.00165627413125138	-0.23712131810341	Gm14335	104
4265	ENSMUSG00000018411	2.13437054971294	-2.06885494504991	3.79518028019859	0.000849475953900759	0.00305572334929553	-0.74374203294573	Mapt	105
911	ENSMUSG00000023902	2.13204374917652	-0.190509174925756	6.95290460867176	2.92643726970436e-07	4.92836449964921e-06	6.50238926326184	Zscan10	106
1072	ENSMUSG00000017692	2.13006521723911	-0.422628489279377	6.65354915626051	6.02756089803144e-07	8.62638426283567e-06	5.56907019091736	Rhbdl3	107
1051	ENSMUSG00000030103	2.12345818851472	4.90368931561495	6.68220085251651	5.62218501004471e-07	8.20699927917278e-06	5.93665851487513	Bhlhe40	108
167	ENSMUSG00000022679	2.11770840018122	2.06962209428037	10.3835043803433	1.69754171158932e-10	1.55950209216786e-08	13.8647100612222	Mpv17l	109
5872	ENSMUSG00000079008	2.11140689715781	-1.88065411451133	2.98947647556224	0.00624012341041449	0.0163038101775509	-2.35268658967777	Gm14124	110
20	ENSMUSG00000090069	2.10833210180407	3.00166132294555	16.5659049726007	6.87626276765715e-15	5.2747811690698e-12	23.5563275136887	E430024P14Rik	111
1180	ENSMUSG00000048583	2.10408006732432	0.127430958659947	6.48071294197267	9.19217206857668e-07	1.19513816844155e-05	5.73542084213611	Igf2	112
4784	ENSMUSG00000085255	2.10311158035905	-1.69380921587057	3.49179577772356	0.00182382771260065	0.00584890567866204	-1.34232797284616	Taco1os	113
1679	ENSMUSG00000097417	2.08611727950729	3.71259717962986	5.82383910315534	4.70708393655103e-06	4.3011364952094e-05	4.02052392026648	NA	114
109	ENSMUSG00000092474	2.08585501302299	0.962644520262746	11.2293007917419	3.39646523989342e-11	4.77313803788953e-09	15.5409466517152	Gm20478	115
8	ENSMUSG00000034765	2.08444098066883	5.78279699511915	19.8740422216381	1.03586576968587e-16	1.98653157981507e-13	28.3045567215508	Dusp5	116
3696	ENSMUSG00000097692	2.08370150883628	-1.02009512605271	4.12619498952161	0.000364910019423513	0.00151473201244468	0.00818586759449058	A230060F14Rik	117
1409	ENSMUSG00000034573	2.07796697999324	3.85649233820324	6.15214031622293	2.06933829779776e-06	2.25321420616133e-05	4.86861914881777	Ptpn13	118
504	ENSMUSG00000030792	2.07433751783177	1.82390227950231	8.03142626593887	2.38040331117953e-08	7.24606103176912e-07	9.14272898557852	Dkkl1	119
2960	ENSMUSG00000087443	2.0735887611677	-1.19357941586644	4.62396731060033	0.000101297131868836	0.000524857431981203	1.07025725963071	Ppp1r18os	120
2312	ENSMUSG00000091604	2.07064348595355	-1.03421019592301	5.15286371078587	2.5955290103387e-05	0.000172234455348686	2.09757882327668	Gm17349	121
1835	ENSMUSG00000033863	2.06928898613631	1.30295275905968	5.64457269072044	7.40364480569123e-06	6.19001191329236e-05	3.64093489893184	Klf9	122
3332	ENSMUSG00000018930	2.0688396696127	3.09157674190016	4.362896194507	0.000198562852306758	0.000914271092464069	0.581412337247249	Ccl4	123
4213	ENSMUSG00000030486	2.06771216507692	-1.83388137085644	3.83398336801371	0.000769758455398758	0.00280314128239443	-0.704399441329084	Zfp108	124
2054	ENSMUSG00000030345	2.06253694842555	0.378098064434304	5.42397918045491	1.29716880789918e-05	9.68897947944949e-05	3.21131085684808	Dyrk4	125
6855	ENSMUSG00000048758	2.05755944484767	3.36746275518579	2.58281994736332	0.0161204859826699	0.0360788469651527	-2.98233074632883	Rpl29	126
341	ENSMUSG00000031618	2.05071861395021	2.15049834107039	8.80109896258173	4.36246172640723e-09	1.95723294723734e-07	10.8563618692689	Nr3c2	127
3511	ENSMUSG00000070526	2.04575192309024	-1.0139497872366	4.23862861560297	0.000273390018267535	0.0011946310624496	0.349178207847448	Peg12	128
6444	ENSMUSG00000086953	2.04531843355804	-2.11588277886394	2.75030117983839	0.0109716994483153	0.0261216345338382	-2.71456644812353	Aknaos	129
1019	ENSMUSG00000097089	2.04277456695184	-0.0247276670820002	6.7514096573418	4.75381878384982e-07	7.15731970381001e-06	5.82230470209052	Gm26879	130
5823	ENSMUSG00000027257	2.0369887917551	-1.26939287714976	3.00595448351765	0.00599870237464228	0.0158049273281404	-2.20499545431897	Pacsin3	131
1491	ENSMUSG00000067038	2.02503013504826	5.21387187768495	6.05202691964061	2.65576978493014e-06	2.73271764187781e-05	4.31339502977467	Rps12-ps3	132
3506	ENSMUSG00000044177	2.01584950165369	1.8603593896705	4.24128091876692	0.00027153206520518	0.00118820449069534	0.429074923519173	Wfikkn2	133
