Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
2448	ENSMUSG00000041801	2.36863925891051	0.290850895440848	4.4870875322074	0.000144179319486818	0.000903594411587731	1.05502597377011	Phlda3	67
33	ENSMUSG00000000817	2.3643752352023	4.05852789514257	14.6640411643568	1.07041596003149e-13	4.97646110872821e-11	21.3888616352493	Fasl	68
639	ENSMUSG00000025175	2.3636704822229	1.89579722513977	7.35644744289948	1.12449599846824e-07	2.69467197999855e-06	7.74701943231285	Fn3k	69
666	ENSMUSG00000032374	2.36009661196769	1.71412623948658	7.27985131256543	1.34620060192497e-07	3.10022344675616e-06	7.52890851249458	Plod2	70
1166	ENSMUSG00000024511	2.35746548409645	-0.190209289354811	6.03565178825473	2.76665919888527e-06	3.64031607455385e-05	4.40038588118277	Rab27b	71
2963	ENSMUSG00000097722	2.35564045604533	0.532376848471328	4.08445536969353	0.000406126484301032	0.00210286619039704	0.104815332298002	NA	72
3585	ENSMUSG00000029206	2.35117997328358	-1.95566067910945	3.66866882547904	0.0011699523478025	0.00500680862482175	-0.906694163979603	Nsun7	73
131	ENSMUSG00000030247	2.33711184578773	3.89523975683585	10.916408773523	6.09965532100415e-11	7.14358106372867e-09	15.144830879773	Kcnj8	74
4038	ENSMUSG00000060678	2.32954654159455	-1.09402910652265	3.39177389289198	0.00233929678128936	0.0088879373993416	-1.42663751814686	H4c3	75
1988	ENSMUSG00000092124	2.3287810169265	-1.20457585294665	4.91668840556025	4.76320416615644e-05	0.000367590937209115	1.74119222435981	B930094E09Rik	76
480	ENSMUSG00000022610	2.32500082000262	2.41889427799643	7.98558620562168	2.64008925018913e-08	8.43838526591699e-07	9.19706824387121	Mapk12	77
750	ENSMUSG00000090186	2.32313376135843	4.91873618475263	6.98176004884655	2.73112745579416e-07	5.58679432357253e-06	6.85037889825842	Gm52951	78
78	ENSMUSG00000028885	2.31201648074567	2.99171385693049	12.3897085645137	4.25671732368542e-12	8.37263553589509e-10	17.7670655727591	Smpdl3b	79
6126	ENSMUSG00000038725	2.31018369719776	-0.644366994062614	2.47144236511058	0.0207103711788204	0.0518672077416686	-3.17327874376873	Pkhd1l1	80
2979	ENSMUSG00000078493	2.30880142962774	-2.41052608013858	4.0704428532102	0.000420971658206079	0.00216802523672295	-0.444339147740815	NA	81
459	ENSMUSG00000036181	2.30431215790083	3.48083041193451	8.06647957263113	2.19961075961184e-08	7.35216302265031e-07	9.37787571899481	H1f2	82
1516	ENSMUSG00000044471	2.30035237385796	0.487721001338429	5.51161738833859	1.037654165511e-05	0.00010501114912447	3.36073413647574	Lncpint	83
171	ENSMUSG00000022114	2.2983061782617	2.35943984983899	10.3007518450962	1.99605026024441e-10	1.79084228612104e-08	13.9809180380493	Spry2	84
994	ENSMUSG00000018930	2.29526080437813	3.09157674190016	6.34853068302457	1.27226920151638e-06	1.96369759453363e-05	5.33988721341119	Ccl4	85
583	ENSMUSG00000076752	2.28866607201814	1.90636412518511	7.54079174581069	7.31510206266513e-08	1.92501365086464e-06	8.20753827996308	Trgc2	86
7576	ENSMUSG00000062093	2.28431734596957	-1.27803412576347	1.95271558273658	0.0622687652803918	0.126099181221195	-4.00231419615018	Gm10110	87
679	ENSMUSG00000039652	2.28060541700388	1.1613051640136	7.22333206212197	1.53810691234301e-07	3.47535143581244e-06	7.29921554885902	Cpeb3	88
373	ENSMUSG00000019856	2.2773005820289	1.04988450484263	8.59355723607463	6.8403617560568e-09	2.81353431800063e-07	9.95808281358079	Fam184a	89
70	ENSMUSG00000026764	2.26520377488417	3.75331459408014	12.600295984701	2.9648208839914e-12	6.49804028602801e-10	18.049945996329	Kif5c	90
1091	ENSMUSG00000021701	2.26466660837512	-0.699454977925388	6.18277272203571	1.91762965206831e-06	2.69663374170779e-05	4.82370482445299	Plk2	91
1973	ENSMUSG00000096802	2.25416423326772	1.61488008169501	4.93389990330221	4.55674211680439e-05	0.000354331158418718	2.09086544211326	NA	92
4087	ENSMUSG00000043623	2.24999054979944	-1.60951127478272	3.36507962121441	0.00249924116253637	0.00938171559158204	-1.58857115320537	4933412A08Rik	93
1471	ENSMUSG00000014609	2.24883136017114	-0.299520161433487	5.56215101617371	9.12560477596988e-06	9.51767698660298e-05	3.41047701738415	Chrne	94
3212	ENSMUSG00000075029	2.24477733534962	-1.99394105464535	3.91039050081268	0.000633711393790889	0.00302689919163755	-0.493369609117662	4930558J22Rik	95
1158	ENSMUSG00000089948	2.24373613852184	-1.13260017328548	6.05541825458668	2.63337454131273e-06	3.48595120239085e-05	4.21773051445612	Far2os1	96
3771	ENSMUSG00000086513	2.23126310628627	3.33120420103929	3.55643517503783	0.00155148608760992	0.00631209216550287	-1.06325033524589	Gvin-ps1	97
346	ENSMUSG00000050014	2.2275492428592	0.591163895864313	8.78304507088508	4.53551477179589e-09	2.0110944401414e-07	10.706750984918	Apol10b	98
1017	ENSMUSG00000051627	2.22344185647885	0.751510619475463	6.31685524264681	1.37572118761971e-06	2.07524586450867e-05	5.23848667798276	H1f4	99
48	ENSMUSG00000035042	2.21502847121796	8.7499810666303	13.5049432594768	6.58854385638004e-13	2.10586333009547e-10	19.4574181961357	Ccl5	100
89	ENSMUSG00000020891	2.20111857785853	2.36339354788034	12.0161118652347	8.17745155204335e-12	1.40964563720729e-09	16.7131169090467	Alox8	101
817	ENSMUSG00000056501	2.2007961415014	0.894936407586639	6.79734975074246	4.25416784433207e-07	7.98867112212271e-06	6.34058445739289	Cebpb	102
2133	ENSMUSG00000092837	2.1983616049454	0.401724048471999	4.77004750376682	6.95011915129113e-05	0.000499751822120719	1.72272619486744	Rpph1	103
1646	ENSMUSG00000057766	2.19226629336585	-0.176929387332756	5.34659620619974	1.58045524450475e-05	0.000147310719083791	2.86803795450013	Ankrd29	104
6400	ENSMUSG00000066000	2.18580956361758	-0.154897935690396	2.37080596216895	0.0258689763729544	0.0620127867990416	-3.33374305898174	Zfp979	105
1637	ENSMUSG00000006179	2.18574377919076	0.239175483691555	5.35785702179926	1.53563605951147e-05	0.000143920149206017	3.03819658492634	Prss16	106
