"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000048376",0.879356733512768,7.03720456133794,15.144801757396,5.20866931451139e-14,2.49723139447606e-11,22.0607907564768
"ENSMUSG00000085438",-0.993755723294589,7.55633115999541,-15.0875733388759,5.66943310751536e-14,2.63577099198487e-11,21.9610420378798
"ENSMUSG00000052031",1.15451655653422,5.60982688427898,14.9599195245442,6.85590134506787e-14,3.08994648355944e-11,21.8205806776135
"ENSMUSG00000068129",0.961479317057094,6.38591810363577,14.9413187990207,7.04915440780734e-14,3.08994648355944e-11,21.7779841448659
"ENSMUSG00000037563",1.40848616383468,9.53734249811091,14.9169957620961,7.31041115280353e-14,3.11545355295311e-11,21.6865274126714
"ENSMUSG00000044786",1.25127349966956,8.02326041458304,14.8299691343331,8.3303175602588e-14,3.45415491917542e-11,21.5617557361005
"ENSMUSG00000043090",-0.961992654005174,5.56249886738918,-14.7684960292514,9.13879091501206e-14,3.68966658468724e-11,21.5488553259957
"ENSMUSG00000025880",1.11894600728583,6.67344011483456,14.7458637902046,9.45655457081686e-14,3.72006308270442e-11,21.4624226881962
"ENSMUSG00000064368",-1.87108179714026,9.41770233578119,-14.7113583523131,9.96322413464865e-14,3.78353063170889e-11,21.3716323262157
"ENSMUSG00000008348",0.957365151960097,9.42908987812234,14.7016286928101,1.01111169273931e-13,3.78353063170889e-11,21.3570610295029
"ENSMUSG00000000078",0.882825372371832,7.56533192718299,14.651663463881,1.09072461175931e-13,3.98426118895508e-11,21.2968593726432
"ENSMUSG00000028479",0.882201000673411,5.74235775755511,14.5596076016747,1.25486156120308e-13,4.47722931906457e-11,21.2147005649772
"ENSMUSG00000064345",-1.33941842863243,10.5160616094693,-14.4410174563934,1.50480457826611e-13,5.24697996358152e-11,20.9513674970033
"ENSMUSG00000028859",-5.13820908635749,2.21800296835774,-14.3741618278214,1.66793573116736e-13,5.68654888612657e-11,20.0028645386142
"ENSMUSG00000067928",-1.74704663690346,3.91909884904288,-14.2972339693363,1.87852823388611e-13,6.26530003571318e-11,20.8572113616241
"ENSMUSG00000069516",-3.38226251278607,5.15100803513007,-14.2257884181817,2.0988135898856e-13,6.85106342468616e-11,20.7526787771497
"ENSMUSG00000058174",1.80843032129371,8.08194815452246,14.0209618340832,2.8913429611685e-13,9.24145493963483e-11,20.3066363523262
"ENSMUSG00000020893",0.91201088314421,6.21455054283173,13.8965371716268,3.51880975330927e-13,1.10174651500553e-10,20.149118859144
"ENSMUSG00000056071",-3.31923967995641,2.62716093962125,-13.8343134569747,3.88397284054965e-13,1.19175822639426e-10,20.0426438212234
"ENSMUSG00000029569",-0.914459567057812,5.51973584431703,-13.793378726867,4.14541344653692e-13,1.24703790385823e-10,20.0270593565887
"ENSMUSG00000058558",0.835700593682384,8.86716672939888,13.6756304244346,5.00397073492926e-13,1.47636382721701e-10,19.7351352312738
"ENSMUSG00000095123",-1.51479359627577,4.77027431843716,-13.616663877868,5.50120703767397e-13,1.59244374286781e-10,19.7723039038679
"ENSMUSG00000046785",-1.12668236808929,6.42630554786461,-13.5058721403488,6.57863980798621e-13,1.86906466544675e-10,19.4950168976033
"ENSMUSG00000000817",2.69106226313037,4.05852789514257,13.3235102180771,8.85257121365497e-13,2.46938450108899e-10,19.1880306394893
"ENSMUSG00000060938",1.17618153242973,8.19551058033974,13.0903114300489,1.29995365093624e-12,3.56140873440425e-10,18.801817385052
"ENSMUSG00000056708",1.03304443773699,7.29622287204537,12.9338104497476,1.68724162168651e-12,4.54134402805516e-10,18.5217865979015
"ENSMUSG00000097729",-1.32026407843522,4.51629559298475,-12.8897379649937,1.81658670326806e-12,4.79789029161556e-10,18.5813087266426
"ENSMUSG00000072915",-1.61368307601025,4.14517837822277,-12.8804591879641,1.84510185898395e-12,4.79789029161556e-10,18.5916524696296
"ENSMUSG00000025544",-0.600309469137453,6.89336338069254,-12.6461478737291,2.74192532958659e-12,7.01110306775292e-10,18.0378303088473
"ENSMUSG00000079419",-1.15126752579278,5.2778562320253,-12.6109971781595,2.91117611259873e-12,7.32184654417865e-10,18.0757393312426
"ENSMUSG00000067288",1.07409705852089,9.03011555976335,12.555966964247,3.19816752316608e-12,7.9139171194216e-10,17.8454046905064
"ENSMUSG00000026728",0.811221191257717,8.79570231007936,12.5213629770797,3.39348152804445e-12,8.26393549258064e-10,17.7867752488011
"ENSMUSG00000020863",-1.14478300031398,7.78626012945477,-12.5071145256743,3.47745230402371e-12,8.33610519505183e-10,17.7693345831494
"ENSMUSG00000073940",-4.23879087909048,4.72823902643596,-12.4918889462027,3.56956055210075e-12,8.4252612292815e-10,17.8796144210722
"ENSMUSG00000003032",2.78808946634584,2.59042928928018,12.4528845653511,3.81721487714146e-12,8.87328949168246e-10,17.4772370646087
"ENSMUSG00000034612",1.16779655150404,5.62582921576884,12.4238472635692,4.01308049094068e-12,9.15882405690697e-10,17.7635326358771
"ENSMUSG00000037266",-0.963967973281131,9.63954875156085,-12.4171882972791,4.05944489551345e-12,9.15882405690697e-10,17.5980779556352
"ENSMUSG00000035042",1.97644674247732,8.7499810666303,12.3805559713247,4.32460219076119e-12,9.61565895806639e-10,17.5518282770533
"ENSMUSG00000059325",0.887806306533005,6.33499977266562,12.3110160792033,4.87837993877339e-12,1.06920150029516e-09,17.4975744970893
"ENSMUSG00000040703",1.2741056667731,3.54855464380628,12.2831339917554,5.12056572684417e-12,1.10647492086258e-09,17.5413500092008
"ENSMUSG00000046351",-1.10364733155277,4.90272513692764,-12.2597438673402,5.33331409176662e-12,1.13644034438727e-09,17.5176908787443
"ENSMUSG00000058706",-0.604120590343465,6.52170292074223,-12.221443800383,5.70163120250644e-12,1.1982798069706e-09,17.2996776883987
"ENSMUSG00000025492",-2.4656373931271,1.6122263465049,-12.1948318611312,5.9729582537632e-12,1.23833953417885e-09,16.5785954278922
"ENSMUSG00000020522",-0.675038431032287,5.89475025858504,-12.1471036626764,6.49353242669626e-12,1.31237989044564e-09,17.2158404986047
"ENSMUSG00000064360",-1.2464367879936,7.74422131627389,-12.1449591840566,6.51799553752929e-12,1.31237989044564e-09,17.1324895374147
"ENSMUSG00000017737",-3.49012441438431,1.2379299761269,-12.138980088038,6.5867065287651e-12,1.31237989044564e-09,16.3762696152567
"ENSMUSG00000030291",1.09122614810925,6.76371574822309,12.0635332888438,7.52100544986034e-12,1.47932391809945e-09,17.023049051854
"ENSMUSG00000038976",0.547727040012415,8.53299925627079,12.044623788497,7.77597926201815e-12,1.51011485870737e-09,16.9433755386364
"ENSMUSG00000052212",-3.14739864670077,-0.197075363809698,-11.924810978112,9.61345203756611e-12,1.84361976450424e-09,15.2894570904944
"ENSMUSG00000041831",1.93770213254752,5.09791111238199,11.912868433929,9.81970341465996e-12,1.85992456528041e-09,16.9483006041901
"ENSMUSG00000085603",-0.69949701888496,6.11961602631982,-11.8074406360181,1.18514359635237e-11,2.21737476283391e-09,16.5779169077388
"ENSMUSG00000029121",1.52131197743152,3.66793288386597,11.7879545847035,1.22722236847409e-11,2.25270244993909e-09,16.7266991870293
"ENSMUSG00000046432",0.979997342422266,4.35946568105399,11.77947710066,1.24600815884909e-11,2.25270244993909e-09,16.7040760008876
"ENSMUSG00000025997",-2.59337552352193,5.05592842190074,-11.7785523513927,1.24807527209505e-11,2.25270244993909e-09,16.7147970319586
"ENSMUSG00000024235",0.861995483642243,4.89453262365763,11.7609797522681,1.28803662947975e-11,2.29779743831143e-09,16.5995644680192
"ENSMUSG00000023034",1.36457030135882,5.6290727397311,11.7135162847672,1.4027185464955e-11,2.47362160233723e-09,16.455386541874
"ENSMUSG00000054206",1.88426276196493,5.74265353301935,11.6678278242185,1.52309881220849e-11,2.65538431555712e-09,16.3916571128745
"ENSMUSG00000033450",0.935829101701563,7.31327022992318,11.6576501190668,1.55134006236293e-11,2.67423137491821e-09,16.2619367019587
"ENSMUSG00000058260",-1.52327959218267,3.04834455970857,-11.594085750403,1.74040539128626e-11,2.96681105701265e-09,16.3727056838278
"ENSMUSG00000079144",-1.12635942533292,4.71342787372493,-11.5113116356643,2.02290905796186e-11,3.3628725113302e-09,16.1426715150322
