"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000086502",-1.50822736604048,3.8433797280616,-13.1034851433747,1.79174906048075e-12,5.1453487654157e-10,18.6173911539309
"ENSMUSG00000090509",-3.61972307234371,0.247337829531662,-13.098354095504,1.80675287135913e-12,5.1453487654157e-10,18.0080299872589
"ENSMUSG00000021796",2.75342831215352,2.39710067279256,13.0794192087995,1.86325653378356e-12,5.20421882628315e-10,18.4537255682203
"ENSMUSG00000008348",1.26100022398011,9.16153795228257,13.0413420059849,1.98249334301642e-12,5.43277987056047e-10,18.3112786537465
"ENSMUSG00000049047",-1.48231389598416,3.20282189973904,-12.9696172027308,2.22904646569869e-12,5.9953094199644e-10,18.4309760508922
"ENSMUSG00000021384",1.27525017461857,3.41901255349205,12.8826950188213,2.57098963784988e-12,6.7892824545694e-10,18.2685686290027
"ENSMUSG00000008193",3.74480821333037,2.06855356515979,12.8717133985255,2.61790245399723e-12,6.78971700747425e-10,18.1842605807661
"ENSMUSG00000030653",1.40729665252136,7.56540060009723,12.8060759223444,2.91741193036039e-12,7.43377032922005e-10,17.8934300787405
"ENSMUSG00000028034",-1.30854946033371,7.79767380062409,-12.7901847449573,2.9951238053061e-12,7.49148376974029e-10,17.8702778245944
"ENSMUSG00000036181",2.66808308440407,3.1599655901842,12.7805617617811,3.04322185633901e-12,7.49148376974029e-10,18.1230450777712
"ENSMUSG00000024673",4.10008718679823,1.92125337355404,12.7527317655195,3.18687645801578e-12,7.71436561270353e-10,17.9078974038999
"ENSMUSG00000068105",1.73214042943972,2.57717345027691,12.4442762242412,5.34085031909347e-12,1.27039930098655e-09,17.5525823362702
"ENSMUSG00000043439",1.71118316687097,3.71724637409898,12.4352347445625,5.42307605764019e-12,1.27039930098655e-09,17.5210521624459
"ENSMUSG00000076937",3.66490281516349,1.40498264081738,12.2961211717829,6.86736371885996e-12,1.58319985163051e-09,17.1023487362084
"ENSMUSG00000026754",-1.04443264627047,5.35357544884705,-12.2452127089514,7.49082874585846e-12,1.69058070961538e-09,16.992777161538
"ENSMUSG00000036908",2.45858217582345,3.07302135082216,12.2393775044156,7.56594231100244e-12,1.69058070961538e-09,17.2224730516889
"ENSMUSG00000071456",-1.15425374780912,4.10089347346047,-12.2187070368052,7.83835435294763e-12,1.72491300942744e-09,17.1005254898461
"ENSMUSG00000021457",4.1066033374269,2.66962923176879,12.1972298331818,8.13217123215149e-12,1.76286052202639e-09,17.1397516099923
"ENSMUSG00000032436",1.30560699142139,5.15409768321319,12.1520583445609,8.78793647163805e-12,1.87699984285399e-09,16.8745747533078
"ENSMUSG00000050628",1.28878432073837,5.92589411269252,12.1257850172116,9.19430142558936e-12,1.92106437080653e-09,16.7488745826816
"ENSMUSG00000003484",6.17600602893959,-0.958853459846191,12.1217270013764,9.2587789835071e-12,1.92106437080653e-09,14.5982713158623
"ENSMUSG00000037649",1.49686656525404,5.23237540511676,12.1014181637827,9.58856889316379e-12,1.96147006484945e-09,16.7871204239055
"ENSMUSG00000061477",1.97320664297489,8.04520044927061,12.0583388657749,1.03289929313882e-11,2.08358740743724e-09,16.6089816584864
"ENSMUSG00000025880",1.23865018256169,7.18563694013863,12.0111640121348,1.12080424149225e-11,2.22993983608677e-09,16.51460484646
"ENSMUSG00000052031",1.31208984119452,5.75071629699208,11.9889021905357,1.16494128572402e-11,2.28643340998049e-09,16.5018083064862
"ENSMUSG00000046546",5.70356589832269,-1.04463177927937,11.9454278087829,1.25639768917433e-11,2.43305600500905e-09,14.3220620269146
"ENSMUSG00000032496",5.44750610911341,-1.08398940756016,11.9125988017349,1.3303633401778e-11,2.54239436220295e-09,14.2688443090428
"ENSMUSG00000029771",3.03066287787759,0.853892000354035,11.8861598830595,1.39320074550298e-11,2.62790228930978e-09,16.3650981502287
"ENSMUSG00000027981",-1.61809674366467,5.2746404804348,-11.8523017517476,1.47818442275402e-11,2.75245519949736e-09,16.3201907782241
"ENSMUSG00000055872",-3.14983225472484,0.746628802415786,-11.818437657992,1.56855943189283e-11,2.88376673276095e-09,16.2620497079891
"ENSMUSG00000057143",-0.75344696248743,6.74584386110918,-11.783855287863,1.66676646379905e-11,3.02601451502717e-09,16.1152646323043
"ENSMUSG00000036478",1.06032191753585,9.65135701364457,11.7722886763262,1.7010154323561e-11,3.05006767154815e-09,16.1324046943926
"ENSMUSG00000015340",3.909679817091,1.17617028972545,11.7494543431643,1.77078260280265e-11,3.13644469793972e-09,16.0046560284321
"ENSMUSG00000032484",4.44542280640286,0.0301868354719914,11.7286778160804,1.83683491875321e-11,3.1869407841961e-09,15.040046795997
"ENSMUSG00000037071",4.76719885319652,2.57792070634681,11.7253307553433,1.84771190249566e-11,3.1869407841961e-09,16.3022945259066
"ENSMUSG00000002111",3.57089613083509,-0.638692682636999,11.7106771135569,1.89612224217228e-11,3.1869407841961e-09,15.0685894820556
"ENSMUSG00000043090",-1.18070292133804,5.76892383963833,-11.7075167080982,1.90673400160727e-11,3.1869407841961e-09,16.0251482140991
"ENSMUSG00000041453",1.25002029516181,9.06038507418437,11.7068427984105,1.90900473853664e-11,3.1869407841961e-09,15.9758399278986
"ENSMUSG00000064368",-2.16503884829853,9.71637360016794,-11.6601190387255,2.07346355409322e-11,3.3891369757366e-09,15.9454788310813
"ENSMUSG00000027778",-0.980109308394682,7.17202715326647,-11.6592136170076,2.07679145442411e-11,3.3891369757366e-09,15.8861897975714
"ENSMUSG00000035711",2.50741840090083,1.87328095681199,11.6126475168315,2.25561568924954e-11,3.57635813514145e-09,16.1055123281835
"ENSMUSG00000024006",-0.655397547894589,9.21331127229224,-11.6117964475746,2.25902833338288e-11,3.57635813514145e-09,15.8366627423742
"ENSMUSG00000074056",-4.26668820486483,0.33228890122764,-11.6102139796353,2.26538796772937e-11,3.57635813514145e-09,15.3425729218741
"ENSMUSG00000038274",2.14358210236682,8.69395886125893,11.5715648192762,2.42659902734036e-11,3.78966927667649e-09,15.7397863601034
"ENSMUSG00000046280",1.77654283890218,2.60188523748722,11.553093629219,2.50779163771894e-11,3.87480486662019e-09,16.0363434500861
"ENSMUSG00000071714",-2.70077774950249,2.92458879223593,-11.5349033309907,2.59049832808286e-11,3.9604629175869e-09,16.0011280601089
"ENSMUSG00000030468",5.44150651228507,1.02633575938001,11.5111190510457,2.70291557536273e-11,4.08928602255920e-09,15.3600722966941
"ENSMUSG00000037922",3.71879201296097,2.12298479735841,11.4962080684756,2.77595521106976e-11,4.11653830276787e-09,15.8090300695918
"ENSMUSG00000014030",2.55355373202683,1.43122586379208,11.4911736652295,2.80107409580194e-11,4.11653830276787e-09,15.9196674129043
"ENSMUSG00000026864",0.757411885114197,8.31369977914438,11.4902003073157,2.80595766988446e-11,4.11653830276787e-09,15.5867571167222
"ENSMUSG00000041459",-1.03586362630496,8.64310631130045,-11.4402900896954,3.06854956688769e-11,4.45676139094768e-09,15.5090792663297
"ENSMUSG00000030577",3.27197257929369,3.12855407112355,11.4336315242774,3.10545631587356e-11,4.46570767641066e-09,15.7950221810994
"ENSMUSG00000085622",-1.72487052505586,4.18348181278709,-11.4194139733157,3.18580530675602e-11,4.5311488853084e-09,15.6774147793719
"ENSMUSG00000059291",1.11838949423371,9.01383146450756,11.4146235669192,3.2133595096858e-11,4.5311488853084e-09,15.4640491161902
"ENSMUSG00000022994",-1.21909282157245,5.36979450660257,-11.3991579983457,3.30401107371293e-11,4.61417854178909e-09,15.4840330331356
"ENSMUSG00000053889",-1.90122128868032,2.28301304519831,-11.304219548349,3.92159300522866e-11,5.42449683885153e-09,15.5783201215325
"ENSMUSG00000025888",3.6033807574926,2.00215945688357,11.2912740612804,4.0146162795212e-11,5.50078177771377e-09,15.3905510720405
"ENSMUSG00000031029",1.20093685260673,8.37254176576854,11.2733048551363,4.14753576493259e-11,5.62979527568981e-09,15.1830763234686
"ENSMUSG00000056290",-0.941484263103126,9.82683160006663,-11.2580577256667,4.26388611004164e-11,5.70382628848217e-09,15.2024873727802
"ENSMUSG00000003032",4.55345804877474,0.931794569531917,11.255900443164,4.28061873756924e-11,5.70382628848217e-09,14.9783735649029
"ENSMUSG00000007613",-0.995307811540608,5.36786665338943,-11.2179677274539,4.58619318437828e-11,6.05544270999183e-09,15.1566576958897
