"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000052684",6.42114144167854,7.08669821850535,48.4819869336813,7.99580742922326e-32,1.35257078472741e-27,59.7965854467285
"ENSMUSG00000054364",3.62960227395383,6.73218453721212,32.5428783361799,2.5170385314119e-26,2.07609480862647e-22,49.7966510987807
"ENSMUSG00000021250",6.965236019898,7.13947668476238,32.1518307840973,3.68188958730161e-26,2.07609480862647e-22,48.4952468741478
"ENSMUSG00000003545",7.98652758006499,6.309560282037,29.6462413060562,4.69317981376563e-25,1.98474574324149e-21,45.1990612108441
"ENSMUSG00000052837",4.24252689885635,8.33226338020045,28.6964282213057,1.29845341872265e-24,3.76527048050113e-21,46.0304967906169
"ENSMUSG00000024190",3.83326616537427,7.03644953775397,28.670564882849,1.33551802335107e-24,3.76527048050113e-21,45.985906927966
"ENSMUSG00000023034",3.56152699637593,7.14483810269053,25.1351197044053,7.94837281207158e-23,1.92078106412861e-19,42.0462650629564
"ENSMUSG00000038418",3.91251063371021,7.09589115897669,22.4340784933178,2.60436302225754e-21,5.50692561056356e-18,38.6179069720464
"ENSMUSG00000089788",-1.95253610142236,5.40940234476433,-22.2133306187318,3.5206482737516e-21,6.01873869377096e-18,38.3223221077118
"ENSMUSG00000044786",3.08595780354795,9.06560185193569,22.2056343149538,3.55801530726588e-21,6.01873869377096e-18,38.3117033992722
"ENSMUSG00000026826",3.88084886745678,2.16097051188916,21.9204776911187,5.273351980327e-21,8.10945655447377e-18,36.3563337157903
"ENSMUSG00000067928",-2.00527943377309,3.4795332968575,-21.4258108479678,1.05485225730107e-20,1.48699006537541e-17,37.107009765012
"ENSMUSG00000053560",2.71857140488751,7.00922451377368,21.1983001450749,1.45787590919694e-20,1.88838595749613e-17,36.9241908317724
"ENSMUSG00000028680",2.61695798651342,4.20794728392837,21.1496820616603,1.56286376241108e-20,1.88838595749613e-17,36.6727911749797
"ENSMUSG00000032501",2.53752952849304,5.40644197293745,20.7380071098673,2.831967248995e-20,3.19370386559997e-17,36.2509888060918
"ENSMUSG00000008348",1.36987738638106,9.99900014530338,20.5524846575549,3.71435825298656e-20,3.92700526297004e-17,35.9842598866331
"ENSMUSG00000026628",5.48090744954726,3.88180857924758,20.3491085366111,5.01271447382168e-20,4.98794576700985e-17,35.1457590754093
"ENSMUSG00000035356",2.00144014596267,5.96633705608641,18.506992816171,8.56391227745457e-19,8.04817444919008e-16,32.8700723628559
"ENSMUSG00000019850",3.15961403189254,7.25289370060864,18.1077134471591,1.63437561695888e-18,1.45511041770929e-15,32.2240212833555
"ENSMUSG00000020863",-1.31580485909854,7.43493145289138,-17.3692732746659,5.57397127494658e-18,4.71446490434981e-15,30.9898243820442
"ENSMUSG00000034765",2.64692955939577,5.32755071113512,17.2109695300794,7.29097595353063e-18,5.87305472523448e-15,30.745462749489
"ENSMUSG00000000982",4.21932900891421,3.02341007257663,17.1441043521497,8.17157294463218e-18,6.28319672415446e-15,30.1790871576195
"ENSMUSG00000024042",2.80984121584142,7.33052259070705,16.0048225409361,6.03629476732876e-17,4.43956357757101e-14,28.6026114699139
"ENSMUSG00000000078",1.94351758035728,7.78319398709919,15.720529602287,1.01172596023454e-16,7.13098180971982e-14,28.0804722302572
"ENSMUSG00000055170",3.61066254433267,2.42530799201233,15.6589268025392,1.13260758435138e-16,7.66367595875517e-14,27.5185413657207
"ENSMUSG00000032515",2.47673792667161,6.50397360477978,15.4725378330283,1.59698311028981e-16,1.00363345343458e-13,27.6339085031956
"ENSMUSG00000042406",1.24688199309906,7.80131342239147,15.4708707391395,1.60192144967686e-16,1.00363345343458e-13,27.6196563162617
"ENSMUSG00000037266",-0.972677172953079,9.04133854642439,-15.3655814103908,1.94784500606442e-16,1.17677664723521e-13,27.4446614399977
"ENSMUSG00000071076",2.25749574316491,8.06056688800594,15.283284591871,2.27109779455706e-16,1.32475483768025e-13,27.2698124949286
"ENSMUSG00000072915",-2.41738515450627,3.14762235941476,-15.2123879591287,2.59358582835258e-16,1.46243659574708e-13,27.1871438935074
"ENSMUSG00000030103",2.29502995721106,6.09733960191935,14.5936729653836,8.43297242207114e-16,4.6016826287663e-13,25.9625187360145
"ENSMUSG00000026064",1.10716677544532,6.33905307991925,14.5756492968445,8.73253317494704e-16,4.61623534960638e-13,25.8985743374527
"ENSMUSG00000041459",-0.977220303518134,7.9848229559307,-14.5537698888766,9.11090653900995e-16,4.67030590951189e-13,25.8739806540086
"ENSMUSG00000043090",-1.58203946319658,5.17192467699263,-14.5303568051198,9.53448039299845e-16,4.74368442141064e-13,25.8627510216619
"ENSMUSG00000026864",1.01532960669897,9.31543997891701,14.2019610188039,1.81392614032005e-15,8.76696416847258e-13,25.2035340592516
"ENSMUSG00000090086",-1.1340436353823,5.44605592549121,-14.1560230338168,1.98641701481293e-15,9.33395283960429e-13,25.0857454159785
